Repository,Description
keijiro/NoiseBall6,Unity sample project: Direct mesh data access from compute shaders
DerekPascarella/UniversalDreamcastPatcher,A utility for patching Dreamcast disc images.
Flangvik/SharpExfiltrate,Modular C# framework to exfiltrate loot over secure and trusted channels.
RJCodeAdvance/RJControls,"Modern, flat, and elegant Custom Controls for Windows Forms, C#, or Visual Basic.NET. This Custon Controls library was created for training purposes through tutorial videos. You can download the source code from the repository and modify it in your own way."
keijiro/IrisBarracuda,MediaPipe iris landmark model for Unity Barracuda
razexgod/44CALIBER,"Password+Cookies and more stealer, with sending logs into your Discord channel"
komietty/unity-convexhull,Realtime convexhull generator
tinyantstudio/SimpleTimeLineWindow,Ready to Make Simple Unity's TimeLine Style Extension tools
James-LG/AutoCursorLock,Locks cursor to specified windows while in focus. Good for games that don't properly lock the cursor.
JocysCom/FocusLogger,Find out which process or program is taking the window focus. In-game controls could temporary stop responding if other program steals the focus.
needle-tools/hybrid-packages,Export UPM packages as .unitypackage files
YDHCUI/csload.net,一个cobaltstrike shellcode加载器，过国内主流杀软
dimatrubca/book-exchange-app,"ASP.NET Core Web API with React, Entity Framework, Elasticsearch, Paypal integration"
dotnetlowcode/HiSql,HiSql 新一代无实体ORM框架 为低代码而生的ORM框架
maxkoshevoi/DateOnlyTimeOnly.AspNet,Adds support for receiving and returning DateOnly/TimeOnly as ISO 8601 string to ASP.NET Core API
GeorgeAdamon/monocular-depth-unity,Depth from Monocular Image using the MiDaS v2 library with Unity's Barracuda inference framework
654306663/QuadTreeMap,四叉树大场景解决方案
iwiniwin/unity-remote-file-explorer,一个跨平台的远程文件浏览器，使用户通过Unity Editor就能操作应用所运行平台上的目录文件。比如当项目打包运行到设备上时，可通过Remote File Explorer直接浏览设备上的目录文件，并进行下载，上传，删除等操作
fEndman/WarFactory, 幻影坦克+无影坦克全面手机APP解决方案（手动滑稽）
keijiro/FaceLandmarkBarracuda,MediaPipe face landmark detection model for Unity Barracuda
microsoft/SizeBench,SizeBench is a binary size investigation tool for Windows
OG-Sadpanda/SharpSword,Read the contents of MS Word Documents using Cobalt Strike's Execute-Assembly
ddsurvivor/CardGameTutorial,A 2d card game tutorial by Unity game engine
nothke/dx-highlighter,A Deus Ex/System Shock inspired pulsing bounds item highlighter for Unity
yangzhongke/Zack.AnyDBConfigProvider,"ConfigurationProvider for loading configuration from any database, including but not limited to SQLServer, MySQL, Oracle, etc."
jfmaes/SharpNukeEventLog,nuke that event log using some epic dinvoke fu
bohops/RogueAssemblyHunter,Rogue Assembly Hunter is a utility for discovering 'interesting' .NET CLR modules in running processes.
Sanae6/SmoOnlineServer,Official server for Super Mario Odyssey: Online
zhanggaolei001/JdLoginTool,"手机验证码登陆jd,获取ck,可选自动提交到服务器."
shalzuth/WindowSharingHider,"Hides Windows during screen sharing. Works with Teams, Zoom, Discord, etc."
shalzuth/UnrealSharp,"esp, radar, and other tools for unreal engine UE games"
CnGal/CnGalWebSite,CnGal是一个非营利性的，立志于收集整理国内制作组创作的中文Galgame/AVG的介绍、攻略、评测、感想等内容的资料性质的网站。
hawkeye-stan/msfs-popout-panel-manager,Pop out panel manager for MSFS 2020
PunishXIV/YesAlready,Clicks Yes in various dialogues you've specified.
haolange/InfinityFoliage,Tree&Grass System for Unity URP.
lchaumartin/HumanoidProceduralAnimation,A fully procedural approach to humanoïd animation
WhiteBlackGoose/AsmToDelegate,Compile asm code into C# functions on fly!
lesliexinxin/LeslieXin.SimpleMMF,"简单、易用的进程间通信框架，基于共享内存实现。 A simple, easy-to-use framework for interprocess communication based on shared memory"
genki-tx/UnitySimpleCleanArchitecture,Example project to learn Simple Clean Architecture
iammukeshm/BlazorChat,Building a Complete Chat Application in Blazor WebAssembly 5.0 with SignalR and Identity. UI is taken care by MudBlazor Component Library.
keijiro/YoloV4TinyBarracuda,YOLOv4-tiny on Unity Barracuda
p3nt4/RunDLL.Net,Execute .Net assemblies using Rundll32.exe
keijiro/DepthAITestbed,Visual effects with DepthAI (OAK-D-Lite) stereo depth
devmentors/NPay,Simple virtual payments app built as a modular monolith (reference project for YouTube mini-course)
vsandrade/ProEventos,Para a atualização do curso de Seja Full-Stack com Angular e .NET 5
TerhoAntila/planner-gantt-chart,Planner Gantt Chart implementation as Power Apps canvas app
cdmvision/unity-figma-importer,Unity Figma Importer turns your Figma design into Unity UI elements and can bind codes with layout files to create Unity apps with ease.
plackyhacker/Sys-Calls,An example of using Syscalls in C# to get a meterpreter shell.
ShironekoBen/superrt,A realtime raytracing extension chip for the SNES
mattatz/PointCloudExplorer,PointCloudExplorer is an experimental project using point cloud data on Unity.
toolgood/ToolGood.TextFilter,ToolGood 内容审核系统 源码————试过，努力过，失败不遗憾。。。
GaryMcWhorter/Verlet-Chain-Unity,A chain/rope simulation in Unity using Verlet Integration
Dliv3/SharpGPO,"A Red Team tool for remotely manipulating Group Policy Object(GPO), Organizational Unit(OU), GPLink and Security Filtering"
jaredpar/basic-reference-assemblies,Produce NuPkg files that have .NET Reference assemblies as resources
purpl3f0xsecur1ty/useful_random_stuff,Just some things that have some cool uses
akintos/UnrealLocres,UE4 localization resource file tool
opensearch-project/opensearch-net,OpenSearch .NET Client
wqaetly/SkillEditorBasedOnSlate,基于ParadoxNotion Slate的技能编辑器
BuIlDaLiBlE/BetterHI3Launcher,A much better Honkai Impact 3rd launcher.
jborean93/PSOpenAD,Cross-platform PowerShell module alternative to Microsoft's Active Directory module
plackyhacker/Peruns-Fart,"Perun's Fart (Slavic God's Luck). Another method for unhooking AV and EDR, this is my C# version."
Cheyenne1025/QQChannelFramework,MyBot - QQ频道机器人开发框架(C#)
engindemirog/TemplateBackend,Template for backend projects
plackyhacker/CmdLineSpoofer,How to spoof the command line when spawning a new process from C#.
cornflourblue/dotnet-5-jwt-refresh-tokens-api,.NET 5.0 API - JWT Authentication with Refresh Tokens
Alex-Rachel/TGameUnity,TGameUnity
Unity-Technologies/unity-inverse-dynamics-demo,A small project showing off the Inverse dynamics available in Unity
OsOmE1/Beebyte-Deobfuscator,A plugin for Il2CppInspector that performs quasi deobfuscation
vrctxl/VideoTXL,Sync and local video players for VRChat with design consideration for events.
notaspacecowboy/unity-mmorpg,A MMORPG project made in .net core(C# server) and Unity(C# client)
RighteousRyan1/TanksRebirth,A complete rebuild of Wii Play's Tanks game mode. Attempting to stay true to the original game.
youshengCode/IfcToolbox,"Simple tools for processing IFC files. Optimize, convert, split, relocate and anonymize IFC files easily."
AvaloniaUI/Avalonia.GIF,GIF image renderer and player for Avalonia UI Framework
filipnavara/dotnet-hotrewatch,dotnet watch we always wanted
skahwah/encrypt,Pseudorandom AES-256 encryption designed to protect shellcode and arbitrary strings. C# and C/C++ compatible.
jasontaylordev/ModernWebDevWithBlazorWasm,The sample code from my presentation Modern Web Dev with Blazor WebAsembly and ASP.NET Core 6.
wlgys8/PBDClothLearn,Cloth Simulation by Position Based Dynamics + Unity Job System
fraktalcyber/Fransom,Fraktal's Ransomware Emulator
GSGBen/t2md,"Back up Trello to markdown folders on disk, fast."
cotaku/DanmakuFrostMaster,UWP开源弹幕引擎·寒霜弹幕使 ～
andrecarlucci/fix,Fix it
hellgrenj/Rumpel,"Simple, opinionated and automated consumer-driven contract testing for your JSON API's"
sschoener/burst-simd-exercises,SIMD exercises for Burst and Unity
2dust/clashN,"A clash client for Windows, support Mihomo"
Ponderfly/GoogleTranslateIpCheck,扫描国内可用的谷歌翻译IP
AdminTest0/SharpWxDump,微信客户端取证，可获取用户个人信息(昵称/账号/手机/邮箱/数据库密钥(用来解密聊天记录))；支持获取多用户信息，不定期更新新版本偏移，目前支持所有新版本、正式版本
Sanakan8472/copy-dialog-lunar-lander,Play lunar lander in you windows file copy dialog
Cysharp/MemoryPack,Zero encoding extreme performance binary serializer for C# and Unity.
gusmanb/logicanalyzer,"24 channel, 100Msps logic analyzer hardware and software"
tuyoogame/YooAsset,unity3d resources management  system
imbushuo/EnergyStar,A terrible application setting SV2 Efficiency Mode for inactive Windows apps and user background apps
Matthew-J-Spencer/Ultimate-2D-Controller,"A great starting point for your 2D controller. Making use of all the hidden tricks like coyote, buffered actions, speedy apex, anti grav apex, etc"
Fictiverse/Redream,"Realtime Diffusion, using Automatic1111 Stable Diffusion API"
amantinband/error-or,"A simple, fluent discriminated union of an error or a result."
kikipoulet/SukiUI,UI Theme for AvaloniaUI
Dec0ne/KrbRelayUp,KrbRelayUp - a universal no-fix local privilege escalation in windows domain environments where LDAP signing is not enforced (the default settings).
JasperFx/wolverine,Supercharged .NET server side development!
Nexus-Mods/NexusMods.App,Home of the development of the Nexus Mods App
HolographicHat/Yae,更快、更准的原神数据导出工具
SimonCropp/Delta,An approach to implementing a 304 Not Modified leveraging DB change tracking
mattpannella/pupdate,Pupdate - A thing for updating your Analogue Pocket
Flangvik/TeamFiltration,"TeamFiltration is a cross-platform framework for enumerating, spraying, exfiltrating, and backdooring O365 AAD accounts"
ape-byte/DouyinBarrageGrab,基于系统代理的抖音弹幕wss抓取程序，能够获取所有数据来源，包括chrome，抖音直播伴侣等，可进行进程过滤
ConfusedPolarBear/intro-skipper,Fingerprint audio to automatically detect and skip intro sequences in Jellyfin
DragoQCC/HardHatC2,A C# Command & Control framework 
n00mkrad/text2image-gui,"Somewhat modular text2image GUI, initially just for Stable Diffusion"
cube0x0/KrbRelay,Framework for Kerberos relaying 
JDArmy/SharpXDecrypt,Xshell全版本密码恢复工具
LightCountry/TokenPay,"✅一款同时支持动态和静态收款地址收取TRX、USDT-TRC20、ETH系列区块链所有代币的支付解决方案！✅A payment solution that supports both dynamic and static payee addresses to receive TRX, USDT-TRC20, all tokens of ETH series blockchain! "
RowTeam/SharpDecryptPwd,"SharpDecryptPwd source, To Decrypt Navicat,Xmanager,Filezilla,Foxmail,WinSCP,etc"
HaveIBeenPwned/PwnedPasswordsDownloader,A tool to download all Pwned Passwords hash ranges and save them offline so they can be used without a dependency on the k-anonymity API
nicknsy/jellyscrub,Smooth mouse-over video scrubbing previews for Jellyfin.
ClementGre/ThreeFingerDragOnWindows,Enables macOS-style three-finger dragging functionality on Windows Precision touchpads.
HeyM1ke/Assist,C# Valorant Thirdparty Launcher
StateSmith/StateSmith,"A state machine code generation tool suitable for bare metal, embedded and more."
Elfocrash/clean-minimal-api,A project showcasing how you can build a clean Minimal API using FastEndpoints
Unity-Technologies/ECS-Network-Racing-Sample,ECS multiplayer racing sample to showcase using Unity Entities and netcode with best practices
adospace/reactorui-maui,MauiReactor is a MVU UI framework built on top of .NET MAUI
Robinseibold/Unity-URP-Outlines,A custom renderer feature for screen space outlines
dankrusi/WindowsVirtualDesktopHelper,App to help manage Virtual Desktops for Windows 10 and Windows 11
Unity-Technologies/UnityDataTools,Experimental tools and libraries for reading and analyzing Unity data files.
AlmondOffSec/PassTheCert,Proof-of-Concept tool to authenticate to an LDAP/S server with a certificate through Schannel
mrd0x/EvilSelenium,EvilSelenium is a tool that weaponizes Selenium to attack Chromium based browsers.
Wafflus/unity-genshin-impact-movement-system,A movement system made in Unity that attempts to replicate Genshin Impact Movement.
markjprice/cs11dotnet7,"Repository for the Packt Publishing book titled ""C# 11 and .NET 7 - Modern Cross-Platform Development Fundamentals"" by Mark J. Price"
CjangCjengh/MoeGoe_GUI,GUI for MoeGoe
tier4/AWSIM,Open source simulator for self-driving vehicles
SteveSandersonMS/dotnet-wasi-sdk,Packages for building .NET projects as standalone WASI-compliant modules
SuperStudio/SuperCom,SuperCom 是一款串口调试工具
RetroDriven/Pocket_Updater,Windows GUI Application to Update Cores for the Analogue Pocket
BeichenDream/PrintNotifyPotato,PrintNotifyPotato
github/gh-valet,"Valet helps facilitate the migration of Azure DevOps, CircleCI, GitLab CI, Jenkins, and Travis CI pipelines to GitHub Actions."
ps1337/reinschauer,it is very good
emrecancubukcu/Terrain-Decorator,lightweight terrain tool for unity3d
XuToWei/GameDevelopmentKit,Unity双端开发工具，UnityGameFramework+ET+Luban+HybridCLR+UniTask，努力提供方便开发的工具
GhostPack/Koh,The Token Stealer
redteamsocietegenerale/DLLirant,DLLirant is a tool to automatize the DLL Hijacking researches on a specified binary.
Wra7h/FlavorTown,Various ways to execute shellcode 
Haruma-K/UnityDebugSheet,Hierarchical debug menu system for Unity that makes it easy to create intuitive and organized debug menus.
Dec0ne/ShadowSpray,A tool to spray Shadow Credentials across an entire domain in hopes of abusing long forgotten GenericWrite/GenericAll DACLs over other objects in the domain.
PiMaker/ltcgi,Optimized plug-and-play realtime area lighting using the linearly transformed cosine algorithm for Unity/VRChat.
JohnBaracuda/com.baracuda.runtime-monitoring,"Runtime Monitoring is an easy way for you to monitor the value or state of custom C# members during runtime. Just add the 'Monitor' attribute to a field, property, event, method or even class and get its value or state displayed automatically in a customizable and extendable debug UI."
amantinband/buber-breakfast,"A REST API which supports Creating, Reading, Updating and Deleting breakfasts"
gmhevinci/UniFramework,Unity game development framework
mKenfenheuer/steam-deck-windows-usermode-driver,A windows usermode controller driver for the steam deck internal controller.
cnbluefire/HotLyric,热词，为 HyPlayer 和 LyricEase 提供桌面歌词支持。https://www.microsoft.com/store/productId/9MXFFHVQVBV9
temporalio/sdk-dotnet,Temporal .NET SDK
apache/arrow-adbc,Database connectivity API standard and libraries for Apache Arrow
rasta-mouse/SharpC2,Command and Control Framework written in C#
Webreaper/CentralisedPackageConverter,Converts a project to use Centralised Package Management
CesiumGS/cesium-unity,Bringing the 3D geospatial ecosystem to Unity
Harsha-Global/AspNetCore-Harsha,Asp.Net Core Ultimate Guide course | Web University by Harsha
improsec/SharpEventPersist,Persistence by writing/reading shellcode from Event Log
weiyourumeng/RM-Toolbox,入梦工具箱
sdcb/Sdcb.FFmpeg,FFmpeg basic .NET API generated by CppSharp
hasantarhan/LeafPhysics,Unity Jobs based high performance particles
zcgonvh/DCOMPotato,Some Service DCOM Object and SeImpersonatePrivilege abuse.
dashiell-zhang/NetEngine,基于 .Net 框架搭建的一个基础项目结构
oculus-samples/Unity-TheWorldBeyond,"Presence Platform showcase demonstrating usage of Scene, Passthrough, Interaction, Voice, and Spatializer. The Oculus SDK and other supporting material is subject to the Oculus proprietary license. Multiple licenses may apply."
naweed/MauiTubePlayer,A Youtube Clone app building using .Net Maui
WowLegacyCore/HermesProxy,A World of Warcraft connection Proxy for VMaNGOS & CMaNGOS.
katboi01/UmaViewer,Asset Viewer for Uma Musume
Librum-Reader/Librum-Server,The Librum server
xuetaolu/URP_ASE_Tutorial,Amplify Shader Editor Tutorial with Universal Render Pipeline
BruceQiu1996/NPhoenix,"Base on Lcu api,support many functions.Let's go by read readme.md"
digitalinnovationone/trilha-net-fundamentos-desafio,Desafio de projeto .NET Fundamentos - DIO
lwwhb/RoadToDotsTutorials,Road to dots tutorials
trailofbits/RpcInvestigator,Exploring RPC interfaces on Windows
leiurayer/downkyi,哔哩下载姬downkyi，哔哩哔哩网站视频下载工具，支持批量下载，支持8K、HDR、杜比视界，提供工具箱（音视频提取、去水印等）。
BluePointLilac/ContextMenuManager,🖱️ 纯粹的Windows右键菜单管理程序
microsoft/reverse-proxy,A toolkit for developing high-performance HTTP reverse proxy applications.
Kyome22/RunCat_for_windows,A cute running cat animation on your windows taskbar.
dotnet/tye,"Tye is a tool that makes developing, testing, and deploying microservices and distributed applications easier. Project Tye includes a local orchestrator to make developing microservices easier and the ability to deploy microservices to Kubernetes with minimal configuration."
VeriorPies/ParrelSync,(Unity3D) Test multiplayer without building
dremin/RetroBar,"Classic Windows 95, 98, Me, 2000, XP, Vista taskbar for modern versions of Windows"
microsoft/onefuzz,A self-hosted Fuzzing-As-A-Service platform
1y0n/AV_Evasion_Tool,掩日 - 免杀执行器生成工具
Unity-Technologies/Graphics,Unity Graphics - Including Scriptable Render Pipeline
FreyaHolmer/Mathfs,Expanded Math Functionality for Unity
MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure,AZ-204: Developing solutions for Microsoft Azure
SnaffCon/Snaffler,"a tool for pentesters to help find delicious candy, by @l0ss and @Sh3r4 ( Twitter: @/mikeloss and @/sh3r4_hax )"
n00mkrad/cupscale,Image Upscaling GUI based on ESRGAN
microsoft/CsWin32,A source generator to add a user-defined set of Win32 P/Invoke methods and supporting types to a C# project.
Cysharp/ZString,Zero Allocation StringBuilder for .NET and Unity.
RawAccelOfficial/rawaccel,kernel mode mouse accel
openbullet/OpenBullet2,OpenBullet reinvented
atmosgames/SuperSimple2DKit,A simple kit meant to help jump start the creation of your 2D Unity game!
CCob/SweetPotato,Local Service to SYSTEM privilege escalation from Windows 7 to Windows 10 / Server 2019
microsoft/CodeXGLUE,CodeXGLUE 
dotnet-architecture/eShopOnDapr,"A sample .NET distributed application based on eShopOnContainers, powered by Dapr."
SteamAutoCracks/Steam-auto-crack,Steam Game Automatic Cracker
Richasy/BiliBili-UWP,BiliBili的UWP客户端，当然，是第三方的了
digital-standard/ThreeDPoseUnityBarracuda,Unity sample of 3D pose estimation using Barracuda
Almantask/CSharp-From-Zero-To-Hero,C# boot camp
xiaoyaocz/biliuwp-lite,哔哩哔哩UWP Lite
Cysharp/ZLogger,"Zero Allocation Text/Structured Logger for .NET with StringInterpolation and Source Generator, built on top of a Microsoft.Extensions.Logging."
Unity-Technologies/uGUI,Source code for the Unity UI system.
SebLague/Solar-System,Simple solar system experiment
RythmStick/AMSITrigger,The Hunt for Malicious Strings
CCob/SharpBlock,A method of bypassing EDR's active projection DLL's by preventing entry point exection
Maassoft/ColorControl,Easily change NVIDIA display settings and/or control LG TV's
OfficeDev/Microsoft-Teams-Samples,"Welcome to the Microsoft Teams samples repository. Here you will find task-focused samples in C#, JavaScript and TypeScript to help you get started with the Microsoft Teams App!"
davidfowl/Todos,Various todo list backend API implementations
0xthirteen/SharpRDP,Remote Desktop Protocol .NET Console Application for Authenticated Command Execution
dotnet/crank,Benchmarking infrastructure for applications
b4rtik/SharpKatz,"Porting of mimikatz sekurlsa::logonpasswords,  sekurlsa::ekeys and lsadump::dcsync commands"
EngTW/English-for-Programmers,《程式英文》：用英文提昇程式可讀性
rogerfar/rdt-client,Real-Debrid Client Proxy
Apr4h/CobaltStrikeScan,Scan files or process memory for CobaltStrike beacons and parse their configuration
Unity-Technologies/ProjectAuditor,Project Auditor is an experimental static analysis tool for Unity Projects.
Flangvik/BetterSafetyKatz,"Fork of SafetyKatz that dynamically fetches the latest pre-compiled release of Mimikatz directly from gentilkiwi GitHub repo, runtime patches signatures and uses SharpSploit DInvoke to PE-Load into memory."
samhogan/Minecraft-Unity3D,A basic minecraft clone made with unity in 24 hours
SteveSandersonMS/CarChecker,"A sample Blazor WebAssembly application that includes authentication, in-browser data storage, offline support, localization, responsive layouts, and more. For a video walkthrough, see this link:"
Flangvik/NetLoader,"Loads any C# binary in mem, patching AMSI + ETW. "
SebLague/Portals,Portals in Unity
gus33000/UUPMediaCreator,"An utility to create Windows Media files (.ISO, .WIM, .VHD) from Unified Update Platform files"
zmjack/PortProxyGUI,A manager of netsh interface portproxy which is to evaluate TCP/IP port redirect on windows.
Unity-Technologies/com.unity.demoteam.hair,An integrated solution for authoring / importing / simulating / rendering strand-based hair in Unity.
Flangvik/SharpDllProxy,Retrieves exported functions from a legitimate DLL and generates a proxy DLL source code/template for DLL proxy loading or sideloading
EasyAbp/AbpHelper.GUI,Providing code generation and more features to help you develop applications and modules with the ABP framework.
microsoft/infersharp,"Infer# is an interprocedural and scalable static code analyzer for C#. Via the capabilities of Facebook's Infer, this tool detects null dereferences, resource leaks, and thread-safety violations. It also performs taint flow tracking to detect critical security vulnerabilities like SQL injections."
dotnet/csharpstandard,"Working space for ECMA-TC49-TG2, the C# standard committee."
FuzzySecurity/StandIn,StandIn is a small .NET35/45 AD post-exploitation toolkit
uknowsec/SweetPotato,Modifying SweetPotato to support load shellcode and webshell
TheWover/DInvoke,Dynamically invoke arbitrary unmanaged code from managed code without PInvoke.
Coldairarrow/EFCore.Sharding,Database Sharding For EFCore
sblom/RegExtract,Clean & simple idiomatic C# RegEx-based line parser that emits strongly typed results.
Primer-Learning/PrimerToolsUnity,Tool used for producing Primer YouTube videos
fuluteam/fulusso,基于react+asp.net core开发的单点登录系统
PwnDexter/SharpEDRChecker,"Checks running processes, process metadata, Dlls loaded into your current process and the each DLLs metadata, common install directories, installed services and each service binaries metadata, installed drivers and each drivers metadata, all for the presence of known defensive products such as AV's, EDR's and logging tools."
gasgiant/FFT-Ocean,FFT ocean for Unity
fifty-six/Scarab,An installer for Hollow Knight mods written in Avalonia.
csharpfritz/csharp_with_csharpfritz,"Show notes, slides, and samples from the CSharp with CSharpFritz show"
0xthirteen/MoveKit,Cobalt Strike kit for Lateral Movement
gmhevinci/MotionFramework,MotionFramework is unity3d game framework.
MichalStrehovsky/SeeSharpSnake,Self-contained C# game in 8 kB
PxGame/XMLib.AM,XMLib 动作游戏开发套件
ipud2/Unity-Basic-Shader,Unity Basic Shader
G0ldenGunSec/SharpSecDump,.Net port of the remote SAM + LSA Secrets dumping functionality of impacket's secretsdump.py
yangzhongke/Zack.EFCore.Batch, Deleting or Updating multiple records from a LINQ Query in a SQL statement without loading entities
gasgiant/Aircraft-Physics,Fixed wing aircraft physics for Unity
Kink3d/kMirrors,Planar reflections for Unity's Universal Render Pipeline.
WolfgangOfner/MicroserviceDemo,This is a demo with two ASP .NET 6 microservices using RabbitMQ and Docker
bleroy/lunr-core,A port of LUNR.js to .NET Core
SDchao/AutoVsCEnv_WPF,Simple Tool to configure C/C++ in VScode automatically
ankenyr/jellyfin-youtube-metadata-plugin,Youtube Metadata Plugin for Jellyfin
lyuma/Av3Emulator,"Emulator for VRChat's Avatars 3.0 system, built on the Unity PlayableGraph API"
Hzllaga/ShellcodeLoader,将shellcode用rsa加密并动态编译exe，自带几种反沙箱技术。
michaelweber/Macrome,Excel Macro Document Reader/Writer for Red Teamers & Analysts
cnblogs/fluss,"fluss is a blog engine, powered by .NET"
roubachof/Sharpnado.MaterialFrame,"A modern MAUI (and XF) Frame component supporting blur, acrylic, dark mode. Implemented with RealtimeBlurView on Android (custom blurview) and UIVisualEffectView on iOS."
Unity-Technologies/arfoundation-demos,AR Foundation demo projects
DaniDevy/FPS_Movement_Rigidbody,A physics based movement system
Goobwabber/MultiplayerExtensions,A Beat Saber mod that expands multiplayer functionality.
Cysharp/ProcessX,Simplify call an external process with the async streams in C# 8.0.
ChilliCream/graphql-workshop,Getting started with GraphQL on ASP.NET Core and Hot Chocolate - Workshop
ProfessorJTJ/HISuite-Proxy,Modifying HiSuite and manipulating it's connection data to install Roms before they officially get released.
plackyhacker/Shellcode-Encryptor,A simple shell code encryptor/decryptor/executor to bypass anti virus.
bohops/SharpRDPHijack, A proof-of-concept Remote Desktop (RDP) session hijack utility
MythicAgents/Apollo,A .NET Framework 4.0 Windows Agent
0xthirteen/SharpStay,.NET project for installing Persistence
YukiCoco/YukiDrive,Onedrive & SharePoint 文件浏览网页程序
n00mkrad/nmkoder,"Media encoding, muxing, analysis toolkit for Windows"
Collective-Software/ClickPaste,Windows 10 notification area app in C# that can paste clipboard contents as keystrokes to whatever location you click.
google/play-unity-plugins,The Google Play Plugins for Unity provide C# APIs for accessing various Play services
BoyanTata/AP01,A向TA入门课工程文件
ultranijia/EmbyCrack,破解 Emby 高级版验证，并加速中国用户下载插件
Azure/azure-functions-dotnet-worker,Azure Functions out-of-process .NET language worker
Heart-Sky/ListRDPConnections,C# 读取本机对外RDP连接记录和其他主机对该主机的连接记录，从而在内网渗透中获取更多可通内网网段信息以及定位运维管理人员主机
sebastienros/parlot,Fast and lightweight parser creation tools
andyvorld/LGSTrayBattery,A tray app used to track battery levels of wireless Logitech mouse.
SkyChenSky/Sikiro,整合了社区主流开源框架（CAP、SkyAPM、WebAPIClient、Chloe等）的微服务项目示例
AaronRobinsonMSFT/DNNE,Prototype native exports for a .NET Assembly.
anjoy8/Student.Achieve.Manager,🎨学生教学教务管理系统：NetCore 3.1 + Vue + EleUI，（star100+，优化多表联查+录制视频+）
microsoft/SmartKG,This project accepts excel files as input which contains the description of a Knowledge Graph (Vertexes and Edges) and convert it into an in-memory Graph Store. This project implements APIs to search/filter/get nodes and relations from the in-memory Knowledge Graph. This project also provides a dialog management framework and enable a chatbot based on its knowledge graph.
r3nhat/GRAT2,We developed GRAT2 Command & Control (C2) project for learning purpose.
thunderbird-team/ThunderBird_OpenSource,ThunderBird OpenSource
kunzmi/ImageStackAlignator,Implementation of Google's Handheld Multi-Frame Super-Resolution algorithm (from Pixel 3 and Pixel 4 camera)
SingletonSean/wpf-tutorials,Source code for SingletonSean WPF tutorials on YouTube.
pastasfuture/com.hauntedpsx.render-pipelines.psx,A scriptable render pipeline for emulating Playstation-1-style graphics on contemporary hardware.
0xthirteen/SharpMove,.NET Project for performing Authenticated Remote Execution
Flangvik/AMSI.fail,C# Azure Function with an HTTP trigger that generates obfuscated PowerShell snippets that break or disable AMSI for the current process.
CombatExtended-Continued/CombatExtended,Combat Extended mod for RimWorld
TanvirArjel/CleanArchitecture,This repository contains the implementation of domain-driven design and clear architecture in ASP.NET Core.
keijiro/Rcam2,Remote depth camera with iPad Pro with LiDAR sensor
markjprice/cs9dotnet5,"Repository for the Packt Publishing book titled ""C# 9 and .NET 5 - Modern Cross-Platform Development"" by Mark J. Price"
marijnz/NativeQuadtree,A Quadtree Native Collection for Unity DOTS
flipswitchingmonkey/FlexASIO_GUI,Simple configuration GUI for FlexASIO
Unity-Technologies/UIToolkitUnityRoyaleRuntimeDemo,This is a sample project to introduce the use of UI Toolkit in Runtime
Natsukage/PostNamazu,鲶鱼精邮差，最终幻想14 触发器拓展
UndertakerBen/PorEdgeUpd,Portable Edge (Chromium) Updater
whuanle/CZGL.SystemInfo,一个.NET Core监控系统CPU内存等信息的工具
eliemichel/BMeshUnity,A Unity package to make runtime procedural mesh generation more flexible.
martinchrzan/ColorPicker,Windows system-wide color picker
Hzllaga/JsLoader,js免杀shellcode，绕过杀毒添加自启
m-jovanovic/event-reminder,.NET Core Web API for seamless event organization with configurable notification systems.
akash-network/awesome-akash,Awesome List of Akash Deployment Examples
GoSecure/WSuspicious,WSuspicious - A tool to abuse insecure WSUS connections for privilege escalations
zcgonvh/CVE-2020-0688,Exploit and detect tools for CVE-2020-0688
AlanMorel/MapleServer2,MapleStory 2 Emulator
mubix/solarflare,SolarWinds Orion Account Audit / Password Dumping Utility
Cysharp/UnitGenerator,"C# Source Generator to create value-object, inspired by units of measure."
TheAllenChou/unity-ray-marching,Ray marching sandbox
CuriousDrive/BookStores,"BookStores is a Blazor Server app using ASP.NET Core as back-end service and MSSQL for database. It has code samples for Authentication, Authorization, DataGrid, Database operations....and much. Please follow the intrsuctions to set it up on your machine."
jorgejgnz/HPTK,Hand Physics Toolkit
DrFlower/Unity-Obfuscator,Unity代码混淆插件
PowerShell/SecretManagement,PowerShell module to consistent usage of secrets through different extension vaults
efcore/EFCore.CheckConstraints,An Entity Framework Core plugin to automatically add check constraints in various situations
mitchmoser/SharpShares,Multithreaded C# .NET Assembly to enumerate accessible network shares in a domain
hexthedev/OpenAi-Api-Unity,Integration for the OpenAi Api in Unity
PacktPublishing/The-Azure-Cloud-Native-Architecture-Mapbook,"The Azure Cloud Native Architecture Mapbook, published by Packt"
roubachof/Sharpnado.Shadows,"Add as many custom shadows (Color, Offset, Blur, Neumorphism) as you like to any Xamarin.Forms view (Android, iOS, UWP)."
microsoft/OSSGadget,Collection of tools for analyzing open source packages.
jorgejgnz/HPTK-Sample,Sample project using HPTK
AndnixSH/Il2CppDumper-GUI,Simple GUI version of Il2CppDumper
microsoft/onnxruntime-training-examples,Examples for using ONNX Runtime for model training.
ShinyHobo/BG3-Modders-Multitool,Utility for quickly generating Baldur's Gate 3 mod packs from an unpacked workspace (among other things). This project is not open source; read the license.
