Repository,Description
rasta-mouse/AmsiScanBufferBypass,bypass amsi patching amsiscanbuffer
Yinmany/NetCode-FPS,fps
FakeByte/EpicOnlineTransport,transport mirror using epic online services
plackyhacker/Suspended-Thread-Injection,another meterpreter injection technique using csharp attempts bypass defender
FromDarkHell/BL3SaveEditor,desktop based save profile editor borderlands three
shiftwinting/FastGithub,githubdnsgithubip
victor-iyif/ferventdeserte,visualized crawler etl ide written csharpwpf
Redth/Maui.VirtualListView,slim listview implementation net maui uses platform virtualized lists collections
teddysmithdev/pokemon-review-api,review rate favorite pokemon net core web api
Deweh/CyberCAT-SimpleGUI,simplified offshoot sirbitesalots cybercat
trevoirwilliams/HR.LeaveManagement.CleanArchitecture-dotnet5,educational project demonstrate mediatr cqrs onionclean architecture aspnet core
Flangvik/SharpProxyLogon,csharp poc cve202126855 aka proxylogon supports classically semiinteractive web well shellcode injection
JimmyCushnie/FancyTextRendering,render markdown clickable links textmeshpro unity
Cratesmith/Cratesmith.AssetUI,popout inspector scriptableobject aware default object drawer unity3d
marcussacana/DirectPackageInstaller,send direct pkg urls ps4
oculus-samples/Unity-SharedSpaces,oculus multiplayer showcase demonstrating basic multiplayer functionality unity including oculus social apis oculus platform authentication photon realtime photon voice oculus spatializer oculus sdk supporting material subject oculus proprietary license
keijiro/VfxGraphAssets,unity vfx graph custom asset library
Mr-Un1k0d3r/ADHuntTool,official repo adhunttool part old redteamcsharpscripts repo
DanielKote/Foreman2,visual planning tool factorio
An0nySec/ShadowUser,
MudBlazor/ThemeManager,thememanager built showcase mudblazor theming
connormcgarr/LittleCorporal,littlecorporal csharp automated maldoc generator
nezaboodka/nevod,nevod language technology patternbased text search
17MKH/Mkh,net 6vue3
erikbra/grate,grate sql scripts migration runner
SebLague/Ant-Simulation,
Oliveriver/5d-diplomacy-with-multiverse-time-travel,5d diplomacy multiverse time travel
djdd87/SynoAI,synology surveillance station notification system utilising deepstack ai
chr0n1k/AH2021Workshop,malware development red teaming workshop
sinscove/Yuzu-Updater,totally legal legit updater yuzu early access
Flangvik/AzureC2Relay,azurec2relay azure function validates relays cobalt strike beacon traffic verifying incoming requests based cobalt strike malleable c2 profile
PrismLibrary/Prism.Maui,experimental repo code eventually merged main prism repo full fledged platform time repo archived
chutianshu1981/AwesomeUnityTutorial,select official highquality tutorials introductory learning content choose best learning route make learning process smooth silk strive easiest learn comprehensive game development tutorial
Dliv3/DomainBorrowing,domain borrowing poc
keijiro/OneEuroFilter,one filter unity implementation
UnityTechnologies/GalacticKittens,get started making multiplayer games netcode gameobjects
keijiro/Waifu2xBarracuda,waifu2x unity barracuda implementation
keijiro/SelfieBarracuda,mediapipe selfie segmentation model unity barracuda
malyawka/URP-ScreenSpaceCavity,blender cavity effect unity
Blondazz/KeyOverlay,simple key overlay osu streaming
Matthew-J-Spencer/Trajectory-Line-Unity,powerful trajectory line unity
GhostPack/RestrictedAdmin,remotely enables restricted admin mode
luxonis/depthai-unity,depthai unity library unity projects examples oak unity
keijiro/TinyYOLOv2Barracuda,tiny yolov2 unity barracuda
arklumpus/TreeViewer,crossplatform software draw phylogenetic trees
zombieyang/puerts_unity_webgl_demo,unitytypescriptweb
keijiro/jp.keijiro.apriltag,apriltag tracker unity
datalust/dotnet6-serilog-example,sample project showing serilog configured default net six web application template
pol-rivero/DiscordAudioStream,windows utility streaming audio discord easily share audio entire screen even use obs streaming
keijiro/BodyPixSentis,bodypix unity sentis
dotnet/reproducible-builds,contains dotnetreproduciblebuilds package
hai-vr/av3-animator-as-code,generate animator layers animations fluent builder syntax initially designed use vrchat generic package require
dnSpyRevived/dnSpy,net debugger assembly editor
microsoft/hidtools,human interface device hid tools windows devices
caryyu/jellyfin-plugin-opendouban,douban metadata provider jellyfin
gindemit/unity-rlottie,unity library plays lottie animation texture2d
TryCatchLearn/Skinet-v6,course repository skinet app created net fifty angular eleven
iammukeshm/PermissionManagement.MVC,let us implement permissionbased authorization aspnet core
VollRagm/KernelSharp,csharp kernel mode driver example using nativeaot
Flangvik/DeployPrinterNightmare,csharp tool installing shared network printer abusing printernightmare bug allow network machines easy privesc
digitaltwinconsortium/ManufacturingOntologies,reference solution leveraging manufacturing ontologies
madskristensen/MarkdownEditor2022,visual studio extension
SebLague/Cloth-and-IK-Test,simple 2d cloth simulation test fabrik inverse kinematics test
Aeroluna/Heck,modhcart
straw-git/WPFManager,wpf
PacktPublishing/Game-Development-Patterns-with-Unity-2021-Second-Edition,game development patterns unity two thousand twentyone second edition published packt
zzjfengqing/ET-EUI,etui
StefH/FluentBuilder,project uses source generation create fluentbuilder specified model dto
Filigrani/SkyCoop,multiplayer long dark game
juanmjacobs/il2cpp-modder,generate dll injection templates modding il2cpp games
pornin/paradox-compress,paper demo implementation paradoxical compression vdf
keijiro/UltraFaceBarracuda,ultralightfastgenericfacedetector1mb face detector unity barracuda
isaacOjeda/MinimalApiArchitecture,net eight minimal api vertical slice architecture
TessFerrandez/BuggyBits,debugging labs net windbg
cornflourblue/dotnet-6-jwt-authentication-api,net sixty jwt authentication api
Martenfur/TabletFriend,toolbar builder windows tablets
SingletonSean/reservoom,simple hotel reservation system demonstrating wpf mvvm fundamentals
RowTeam/SharpNTLMSSPExtract,ntlmssp windows
pixiv/Mux,
emilianavt/VSeeFaceSDK,vseeface sdk unity used export models vsfavatar format
kkokosa/dotnet-counters-ui,multiplatform ui tool observing net counters written maintained awesome contributors dotnetos community
cabarius/ToyBox,toy box cute playful mod five hundred cheats tweaks quality life improvements pathfinder wotr created spirit bag tricks cheat menu little different focus powerful convenient way edit party composition stats search add feats features items etc party members
PowerBI-tips/TabularEditor-Scripts,scripts tabular editor two three community driven make tabular editor experience fast possible
JusterZhu/Fast-learning-WPF,wpf
soonsoon2/SPUM,soonsoon pixel unit maker free version
An0nySec/UserAdd,bypass av
TakeshiCho/UI_RenderPipelineInLinearSpace,unity ui render pipeline linear color space
Vek17/TabletopTweaks-Base,tabletop tweaks mod seeks adjust crpg rules closely follow tabletop ruleset additionally adds content missing base game
G0ldenGunSec/SharpTransactedLoad,load net assemblies memory appear loaded ondisk location
PettterWang/pdz-assistant,pdzpdfpdz pdf
Zekh/OnlyfansSearcher,open source onlyfans leak scraper
CodeMazeBlog/onion-architecture-aspnetcore,repo contains source code onion architecture aspnet core article code maze
Haruma-K/URPGrabPass,replacement grabpass unitys universal render pipeline urp
Ottermandias/Glamourer,change outside appearance actors using penumbra
xpn/NautilusProject,collection weird ways execute unmanaged code net
Another-Axiom/GorillaLocomotion,locomotion system used gorilla tag
densen2014/BlazorMaui,c razor blazorbbmaui windows winformswpfuwpandroidiosmacos
Kevin-Robertson/Sharpmad,csharp version powermad
mat1jaczyyy/Keyboard-Inspector,record analyze input data captured keyboards joysticksgamepads mice
Doddler/RagnarokRebuildTcp,ragnaroklike server client
Struggleton/Delfinovin,xinput solution gamecube controllers
MouseUnSnag/MouseUnSnag,windows system multiple monitors allow mouse move freely get stuck corners edges
Derek-R-S/Light-Reflective-Mirror,relay transport mirror
SkiTles55/SPT-AKI-Profile-Editor,sptaki
Wra7h/SingleDose,generate shellcode loaders injects
DeadlyKitten/MonkeModManager,mod installer pc version gorilla tag
conficient/BlazorTemplater,library generates html eg emails razor components
ProjectMile/Mile.Xaml,lightweight xaml islands toolchain windows eleven controls styles
manups4e/ScaleformUI,scaleformui gta menu styled api made custom scaleforms lighter faster visually better
Adjerry91/VRCFaceTracking-Templates,vrc face tracking templates
net2cn/Real-ESRGAN_GUI,realesrganbased super resolution model inference gui written csharp
rasta-mouse/DInvoke,dynamically invoke arbitrary unmanaged code managed code without pinvoke
ChoiSG/UuidShellcodeExec,poc uuid shellcode execution using dinvoke
icyguider/DumpNParse,combination lsass dumper lsass parser credit goes slyd0g cube0x0
ProjectStarlight/StarlightRiver,starlight river mod
klezVirus/SharpSelfDelete,csharp implementation research jonaslyk drafted poc lloydlabs
Xing-Fax/WPF-Music_Player,
TekkaGB/Unverum,downloads install mods several unreal engine four games
Grinchiest/SantaRat,remote access trojan use santas laptop
nohwnd/Profiler,script scriptblock module performance profiler powershell five powershell seven
stepanbenes/api-for-nopcommerce,api plugin nopcommerce four hundred fifty
lishewen/Blazor.ECharts,blazorecharts
scottyboy805/dotnow-interpreter,pure csharp cil interpreter designed load execute managed code il2cpp unity platforms
ReubenBond/hanbaobao-web,orleans sample application kubernetes hosting
latortuga71/TortugaToolKit,collection tools great open source tools packaged powershell module
passiony/kcp-unity,kcptcpwebsocket framework unity
X-C3LL/xlsxPoison,poc turn xlsx regular excel files xlsm excel file macro slipping inside macro vbaprojectbin
Varneon/WorldCreatorAssistant,unity editor extension automating vrchat world project package management
deanward81/AirDropAnywhere,implementation airdrop allows webenabled device sendreceive files tofrom airdropcompatible device
needle-tools/selective-profiling,selectively deep profile single methods game running unitys profiler
BarleyFlour/RespecMod,respec mod pathfinder wrath righteous
mobdk/CopyCat,simple rapper mimikatz bypass defender
rvrsh3ll/SharpSMBSpray,spray hash via smb check local administrator access
brandonmousseau/vhvr-mod,adds vr support pc game valheim
ubisoft/NGitLab,net client gitlab rest api
nuttylmao/NOOBS-CMDR,tool create macros obs
PacktPublishing/Unity-2021-Shaders-and-Effects-Cookbook-Fourth-Edition,unity two thousand twentyone shaders effects cookbook fourth edition published packt
CascadianVR/Unity-Mesh-Transfer-Utility,unity editor utility transfer skinned mesh renderers one armature another
wh0am15533/Patched-Unity-Mono,patched unity mono builds use dnspy
ugurkryl41/CarRentalProject,recapproject
adyanth/QuickLook.Plugin.FolderViewer,folder viewer plugin quicklook
UnknownX7/NoClippy,xivlauncher plugin
Milk-Drinker01/Milk_Instancer01,unity indirect gpu instancing painting occlusion culling frustum culling lods
daniel-ilett/portals-urp,recreation portals demo universal render pipeline
microsoft/CopyOnWrite,net library encapsulates os filesystem differences ability create copyonwrite file links
unity3d-jp/Unity-ROS-MobileRobot-UI-Tutorial,unity ros
marcteys/eyecam,repository contains main files eyecam
mehmetozkaya/AspnetMicroservices,aspnetmicroservices
tiuub/KeeOtp2,keeotp2 plugin keepass provides form display one time passwords fully compatible builtin otp function
reunono/FeelExtensions,communitydriven collection extension scripts feel moremountains
aahmad097/BadOutlook,kind malicious outlook reader
PizzaLovers007/AdofaiTweaks,helpful tweaks dance fire ice
LiEnby/FlashPatcher,net program remove timebomb adobe flash player
SolidAlloy/ExtEvents,better replacement unityevents
Doraku/Ecs.CSharp.Benchmark,benchmarks csharp ecs frameworks
microsoft/studentambassadors,repository microsoft learn student ambassadors
SDClowen/RSBot,silkroad online open source bot
Cyenoch/Coolapk-UWP,coolapk uwp edition
Valheim-Modding/Jotunn,jotunn valheim library
xarray/UnityOSGB,load osgb format unity two ways native plugin csharp binary reader
FuzzySecurity/Dendrobate,managed code hooking template
ethanedits/Universal-Unity-ESP,guide creating esp unity game
S3cur3Th1sSh1t/SyscallAmsiScanBufferBypass,amsiscanbufferbypass using dinvoke
nnaaa-vr/XSOverlay-VRChat-Parser,log parser vrchat integrates xsoverlay notification api deliver notifications vr
doki-theme/doki-theme-visualstudio,cute anime character themes visual studio
isJuhn/KAMI,kot mouse injector
dantmnf/WSLAttachSwitch,attach wsl2 virtual machine hyperv virtual switch
SolidAlloy/GenericScriptableArchitecture,scriptableobject architecture small easytoexpand codebase simple ui
NVIDIAGameWorks/UnityPhysXPlugin,experimental unity package enable access nvidia physx sdk four within unity
CTFAK/CTFAK2.0,updated version clickteam fusion army knife decompiler
BetterWorld-Liuser/XiaoChao,windows
spacechase0/StardewValleyMods,new home stardew valley mod source code
terjew/VSKeyExtractor,small tool extract license key used activate local installation visual studio
msawczyn/EFDesigner2022,entity framework visual design surface codefirst code generation ef6 core beyond
Straw1997/UnityURPCloud,unity urp raymarching
Flangvik/RosFuscator,youtubelivestream project obfuscating csharp source code using roslyn
drnxloc/AutoLDPlayer,auto adb ldplayer
richard-fine/scriptable-object-demo,demo project two thousand sixteen unite talk overthrowing monobehaviour tyranny peoples glorious scriptableobject revolution
keijiro/NoiseBall6,unity sample project direct mesh data access compute shaders
DerekPascarella/UniversalDreamcastPatcher,utility patching dreamcast disc images
Flangvik/SharpExfiltrate,modular csharp framework exfiltrate loot secure trusted channels
RJCodeAdvance/RJControls,modern flat elegant custom controls windows forms csharp visual basicnet custon controls library created training purposes tutorial videos download source code repository modify way
keijiro/IrisBarracuda,mediapipe iris landmark model unity barracuda
razexgod/44CALIBER,passwordcookies stealer sending logs discord channel
komietty/unity-convexhull,realtime convexhull generator
tinyantstudio/SimpleTimeLineWindow,ready make simple unitys timeline style extension tools
James-LG/AutoCursorLock,locks cursor specified windows focus good games properly lock cursor
JocysCom/FocusLogger,find process program taking window focus ingame controls could temporary stop responding program steals focus
needle-tools/hybrid-packages,export upm packages unitypackage files
YDHCUI/csload.net,cobaltstrike shellcode
dimatrubca/book-exchange-app,aspnet core web api react entity framework elasticsearch paypal integration
dotnetlowcode/HiSql,hisql orm orm
maxkoshevoi/DateOnlyTimeOnly.AspNet,adds support receiving returning dateonlytimeonly iso eight thousand  six hundred one string aspnet core api
GeorgeAdamon/monocular-depth-unity,depth monocular image using midas v2 library unitys barracuda inference framework
654306663/QuadTreeMap,
iwiniwin/unity-remote-file-explorer,unity editorremote file explorer
fEndman/WarFactory,app
keijiro/FaceLandmarkBarracuda,mediapipe face landmark detection model unity barracuda
microsoft/SizeBench,sizebench binary size investigation tool windows
OG-Sadpanda/SharpSword,read contents ms word documents using cobalt strikes executeassembly
ddsurvivor/CardGameTutorial,2d card game tutorial unity game engine
nothke/dx-highlighter,deus exsystem shock inspired pulsing bounds item highlighter unity
yangzhongke/Zack.AnyDBConfigProvider,configurationprovider loading configuration database including limited sqlserver mysql oracle etc
jfmaes/SharpNukeEventLog,nuke event log using epic dinvoke fu
bohops/RogueAssemblyHunter,rogue assembly hunter utility discovering interesting net clr modules running processes
Sanae6/SmoOnlineServer,official server super mario odyssey online
zhanggaolei001/JdLoginTool,jdck
shalzuth/WindowSharingHider,hides windows screen sharing works teams zoom discord etc
shalzuth/UnrealSharp,esp radar tools unreal engine ue games
CnGal/CnGalWebSite,cngalgalgameaverage
hawkeye-stan/msfs-popout-panel-manager,pop panel manager msfs two thousand twenty
PunishXIV/YesAlready,clicks yes various dialogues specified
haolange/InfinityFoliage,treegrass system unity urp
lchaumartin/HumanoidProceduralAnimation,fully procedural approach humanoid animation
WhiteBlackGoose/AsmToDelegate,compile asm code csharp functions fly
lesliexinxin/LeslieXin.SimpleMMF,simple easytouse framework interprocess communication based shared memory
genki-tx/UnitySimpleCleanArchitecture,example project learn simple clean architecture
iammukeshm/BlazorChat,building complete chat application blazor webassembly fifty signalr identity ui taken care mudblazor component library
keijiro/YoloV4TinyBarracuda,yolov4tiny unity barracuda
p3nt4/RunDLL.Net,execute net assemblies using rundll32exe
keijiro/DepthAITestbed,visual effects depthai oakdlite stereo depth
devmentors/NPay,simple virtual payments app built modular monolith reference project youtube minicourse
vsandrade/ProEventos,para atualizacao curso de seja fullstack com angular e net five
TerhoAntila/planner-gantt-chart,planner gantt chart implementation power apps canvas app
cdmvision/unity-figma-importer,unity figma importer turns figma design unity ui elements bind codes layout files create unity apps ease
plackyhacker/Sys-Calls,example using syscalls csharp get meterpreter
ShironekoBen/superrt,realtime raytracing extension chip snes
mattatz/PointCloudExplorer,pointcloudexplorer experimental project using point cloud data unity
toolgood/ToolGood.TextFilter,toolgood
GaryMcWhorter/Verlet-Chain-Unity,chainrope simulation unity using verlet integration
Dliv3/SharpGPO,red team tool remotely manipulating group policy objectgpo organizational unitou gplink security filtering
jaredpar/basic-reference-assemblies,produce nupkg files net reference assemblies resources
purpl3f0xsecur1ty/useful_random_stuff,things cool uses
akintos/UnrealLocres,ue4 localization resource file tool
opensearch-project/opensearch-net,opensearch net client
wqaetly/SkillEditorBasedOnSlate,paradoxnotion slate
BuIlDaLiBlE/BetterHI3Launcher,much better honkai impact 3rd launcher
jborean93/PSOpenAD,crossplatform powershell module alternative microsofts active directory module
plackyhacker/Peruns-Fart,peruns fart slavic gods luck another method unhooking av edr csharp version
Cheyenne1025/QQChannelFramework,mybot qqcsharp
engindemirog/TemplateBackend,template backend projects
plackyhacker/CmdLineSpoofer,spoof command line spawning new process csharp
cornflourblue/dotnet-5-jwt-refresh-tokens-api,net fifty api jwt authentication refresh tokens
Alex-Rachel/TGameUnity,tgameunity
Unity-Technologies/unity-inverse-dynamics-demo,small project showing inverse dynamics available unity
OsOmE1/Beebyte-Deobfuscator,plugin il2cppinspector performs quasi deobfuscation
vrctxl/VideoTXL,sync local video players vrchat design consideration events
notaspacecowboy/unity-mmorpg,mmorpg project made net corecsharp server unitycsharp client
RighteousRyan1/TanksRebirth,complete rebuild wii plays tanks game mode attempting stay true original game
youshengCode/IfcToolbox,simple tools processing ifc files optimize convert split relocate anonymize ifc files easily
AvaloniaUI/Avalonia.GIF,gif image renderer player avalonia ui framework
filipnavara/dotnet-hotrewatch,dotnet watch always wanted
skahwah/encrypt,pseudorandom aes256 encryption designed protect shellcode arbitrary strings csharp ccpp compatible
jasontaylordev/ModernWebDevWithBlazorWasm,sample code presentation modern web dev blazor webasembly aspnet core six
wlgys8/PBDClothLearn,cloth simulation position based dynamics unity job system
fraktalcyber/Fransom,fraktals ransomware emulator
GSGBen/t2md,back trello markdown folders disk fast
cotaku/DanmakuFrostMaster,uwp
andrecarlucci/fix,fix
hellgrenj/Rumpel,simple opinionated automated consumerdriven contract testing json apis
sschoener/burst-simd-exercises,simd exercises burst unity
2dust/clashN,clash client windows support mihomo
Ponderfly/GoogleTranslateIpCheck,ip
AdminTest0/SharpWxDump,
Sanakan8472/copy-dialog-lunar-lander,play lunar lander windows file copy dialog
Cysharp/MemoryPack,zero encoding extreme performance binary serializer csharp unity
gusmanb/logicanalyzer,twentyfour channel 100msps logic analyzer hardware software
tuyoogame/YooAsset,unity3d resources management system
imbushuo/EnergyStar,terrible application setting sv2 efficiency mode inactive windows apps user background apps
Matthew-J-Spencer/Ultimate-2D-Controller,great starting point 2d controller making use hidden tricks like coyote buffered actions speedy apex anti grav apex etc
Fictiverse/Redream,realtime diffusion using automatic1111 stable diffusion api
amantinband/error-or,simple fluent discriminated union error result
kikipoulet/SukiUI,ui theme avaloniaui
Dec0ne/KrbRelayUp,krbrelayup universal nofix local privilege escalation windows domain environments ldap signing enforced default settings
JasperFx/wolverine,supercharged net server side development
Nexus-Mods/NexusMods.App,home development nexus mods app
HolographicHat/Yae,
SimonCropp/Delta,approach implementing three hundred four modified leveraging db change tracking
mattpannella/pupdate,pupdate thing updating analogue pocket
Flangvik/TeamFiltration,teamfiltration crossplatform framework enumerating spraying exfiltrating backdooring o365 aad accounts
ape-byte/DouyinBarrageGrab,wsschrome
ConfusedPolarBear/intro-skipper,fingerprint audio automatically detect skip intro sequences jellyfin
DragoQCC/HardHatC2,csharp command control framework
n00mkrad/text2image-gui,somewhat modular text2image gui initially stable diffusion
cube0x0/KrbRelay,framework kerberos relaying
JDArmy/SharpXDecrypt,xshell
LightCountry/TokenPay,trxusdttrc20etha payment solution supports dynamic static payee addresses receive trx usdttrc20 tokens eth series blockchain
RowTeam/SharpDecryptPwd,sharpdecryptpwd source decrypt navicatxmanagerfilezillafoxmailwinscpetc
HaveIBeenPwned/PwnedPasswordsDownloader,tool download pwned passwords hash ranges save offline used without dependency kanonymity api
nicknsy/jellyscrub,smooth mouseover video scrubbing previews jellyfin
ClementGre/ThreeFingerDragOnWindows,enables macosstyle threefinger dragging functionality windows precision touchpads
HeyM1ke/Assist,csharp valorant thirdparty launcher
StateSmith/StateSmith,state machine code generation tool suitable bare metal embedded
Elfocrash/clean-minimal-api,project showcasing build clean minimal api using fastendpoints
Unity-Technologies/ECS-Network-Racing-Sample,ecs multiplayer racing sample showcase using unity entities netcode best practices
adospace/reactorui-maui,mauireactor mvu ui framework built top net maui
Robinseibold/Unity-URP-Outlines,custom renderer feature screen space outlines
dankrusi/WindowsVirtualDesktopHelper,app help manage virtual desktops windows ten windows eleven
Unity-Technologies/UnityDataTools,experimental tools libraries reading analyzing unity data files
AlmondOffSec/PassTheCert,proofofconcept tool authenticate ldaps server certificate schannel
mrd0x/EvilSelenium,evilselenium tool weaponizes selenium attack chromium based browsers
Wafflus/unity-genshin-impact-movement-system,movement system made unity attempts replicate genshin impact movement
markjprice/cs11dotnet7,repository packt publishing book titled csharp eleven net seven modern crossplatform development fundamentals mark j price
CjangCjengh/MoeGoe_GUI,gui moegoe
tier4/AWSIM,open source simulator selfdriving vehicles
SteveSandersonMS/dotnet-wasi-sdk,packages building net projects standalone wasicompliant modules
SuperStudio/SuperCom,supercom
RetroDriven/Pocket_Updater,windows gui application update cores analogue pocket
BeichenDream/PrintNotifyPotato,printnotifypotato
github/gh-valet,valet helps facilitate migration azure devops circleci gitlab ci jenkins travis ci pipelines github actions
ps1337/reinschauer,good
emrecancubukcu/Terrain-Decorator,lightweight terrain tool unity3d
XuToWei/GameDevelopmentKit,unityunitygameframeworketlubanhybridclrunitask
GhostPack/Koh,token stealer
redteamsocietegenerale/DLLirant,dllirant tool automatize dll hijacking researches specified binary
Wra7h/FlavorTown,various ways execute shellcode
Haruma-K/UnityDebugSheet,hierarchical debug menu system unity makes easy create intuitive organized debug menus
Dec0ne/ShadowSpray,tool spray shadow credentials across entire domain hopes abusing long forgotten genericwritegenericall dacls objects domain
PiMaker/ltcgi,optimized plugandplay realtime area lighting using linearly transformed cosine algorithm unityvrchat
JohnBaracuda/com.baracuda.runtime-monitoring,runtime monitoring easy way monitor value state custom csharp members runtime add monitor attribute field property event method even class get value state displayed automatically customizable extendable debug ui
amantinband/buber-breakfast,rest api supports creating reading updating deleting breakfasts
gmhevinci/UniFramework,unity game development framework
mKenfenheuer/steam-deck-windows-usermode-driver,windows usermode controller driver steam deck internal controller
cnbluefire/HotLyric,hyplayer lyricease
temporalio/sdk-dotnet,temporal net sdk
apache/arrow-adbc,database connectivity api standard libraries apache arrow
rasta-mouse/SharpC2,command control framework written csharp
Webreaper/CentralisedPackageConverter,converts project use centralised package management
CesiumGS/cesium-unity,bringing 3d geospatial ecosystem unity
Harsha-Global/AspNetCore-Harsha,aspnet core ultimate guide course web university harsha
improsec/SharpEventPersist,persistence writingreading shellcode event log
weiyourumeng/RM-Toolbox,
sdcb/Sdcb.FFmpeg,ffmpeg basic net api generated cppsharp
hasantarhan/LeafPhysics,unity jobs based high performance particles
zcgonvh/DCOMPotato,service dcom object seimpersonateprivilege abuse
dashiell-zhang/NetEngine,net
oculus-samples/Unity-TheWorldBeyond,presence platform showcase demonstrating usage scene passthrough interaction voice spatializer oculus sdk supporting material subject oculus proprietary license multiple licenses may apply
naweed/MauiTubePlayer,youtube clone app building using net maui
WowLegacyCore/HermesProxy,world warcraft connection proxy vmangos cmangos
katboi01/UmaViewer,asset viewer uma musume
Librum-Reader/Librum-Server,librum server
xuetaolu/URP_ASE_Tutorial,amplify shader editor tutorial universal render pipeline
BruceQiu1996/NPhoenix,base lcu apisupport many functionslet us go read readmemd
digitalinnovationone/trilha-net-fundamentos-desafio,desafio de projeto net fundamentos dio
lwwhb/RoadToDotsTutorials,road dots tutorials
trailofbits/RpcInvestigator,exploring rpc interfaces windows
google-wallet/rest-samples,samples google wallet rest apis
bugch3ck/SharpEfsPotato,local privilege escalation seimpersonateprivilege using efsrpc
RedDot-3ND7355/MPO-GPU-FIX,mpo fix five hundred billion  sixty million  seven thousand amd gpus rtx 200030004000gtx one thousand  six hundred
killop/URP-12-GammaUIAndSplitResolution,uiui gamma
oculus-samples/Unity-Movement,body eye face tracking code sample
d3lb3/KeeFarceReborn,standalone dll exports databases cleartext injected keepass process
vosmiic/jellyfin-ani-sync,synchronize anime watch status jellyfin anime tracking sites
dreaw131313/MotionMatchingByDreaw,animation system unity engine based motion matching
thekiwicoder0/UnityBehaviourTreeEditor,behaviour tree editor unity built uitoolkit
nats-io/nats.net,full async csharp net client nats
vawser/Yapped-Rune-Bear,personal version yapped elden ring
Cysharp/AlterNats,alternative high performance nats client net
dotnet/dotnet-wasi-sdk,sdk building net projects standalone wasicompliant modules
GMYXDS/MstscManager,mstscputtyxshellxftpradminvncwinscpsecurecrt
oculus-samples/Unity-FirstHand,oculus interaction sdk showcase demonstrating use interaction sdk unity hand tracking project contains interactions used first hand demo available app lab oculus sdk supporting material subject oculus proprietary license
keijiro/Metatex,metadataonly texture importer unity
killop/URP-12-Extension,urp12extension
awgil/ffxiv_bossmod,bossmod ffxiv dalamud plugin
HackerPoet/HyperEngine,noneuclidean unity backend hyperbolica
Nican/Furland,building realtime twitter graph friends
Joker-YF/JKFrame,indie game framework
LluisV/Z-Anatomy,zanatomy app unity project
ironmansoftware/psmsi,create msis using powershell
ogoguel/realtimehand,realtime hand tracking unity package
naweed/MauiPlanets,planets mobile app ui built using net maui
JiangWZW/Realtime-GPU-Contour-Curves-from-3D-Mesh,realtime gpudriven method generate 2d curves 3d meshs contour
redis/NRedisStack,redis stack net client
CSharpDesignPro/Page-Navigation-using-MVVM,wpf page navigation using mvvm
Windows-Apps-Hub/UnitedSets,bring back sets tabs grouping windows tabs
RedSiege/PersistAssist,fully modular persistence framework
booksuper/PclCSharp,pcl wrapper net
nheiniger/SnaffPoint,tool pointesters find candies sharepoint
Thundernerd/Unity3D-SerializableInterface,wrapper allows serialize interfaces
CesiumGS/cesium-unity-samples,sample project cesium unity
vrchat-community/osc,files info using osc communicate vrchat
surajpkhetani/AutoSmuggle,utility craft html svg smuggled files red team engagements
derkork/openscad-graph-editor,openscad graph editor
krlvm/AccentColorizer-E11,accent colorization windows eleven file explorer icon glyphs
thomasjacobsen-unity/Unity-Code-Style-Guide,inspirational csharp code style guide unity projects
1176892094/JFramework-Unity,jframeworkunityp2phybridclrjframeworknet
zcgonvh/TaskSchedulerMisc,misc taskscheduler plays
SonicTHI/SaveOurShip2Experimental,experimental branch save ship two
Flangvik/CobaltBus,cobalt strike external c2 integration azure servicebus c2 traffic via azure servicebus
DuendeSoftware/Duende.AccessTokenManagement,automatic token management machine machine usercentric web app oauth oidc flows
onionware-github/OnionMedia,opensource mediaconverter downloader
LiuOcean/Luban_Unity_GUI,luban unity gui
xiaopeng12138/MaiDXR,vr arcade simulator
xlljc/DungeonShooting,godotrogue
h4wkst3r/SCMKit,source code management attack toolkit
MaciejGorczyca/ChallengesAreEvil,remove challenge tokens profile banner 1clickbutton solution
Ryze-T/CNVD-2022-10270-LPE,rce
LightCountry/CoinConvertBot,usdttrxtelegram
Wra7h/SharpGhosting,process ghosting csharp
anatawa12/AvatarOptimizer,aao avatar optimizer non destructive avatar optimization utilities
lwwhb/Unity2022_SUNTAIL_Stylized_Fantasy_Village_Optimization,assetstoresuntail stylized fantasy village
AKGWSB/ToyRenderPipeline,custom deferred render pipeline unity srpscriptable render pipeline
isadorasophia/bang,entity component system ecs framework made csharp
gbzenobi/CSharp-NT8-OrderFlowKit,hi gabriel zenobi toolkit developed investment funds banks traders kinds
AndreiMisiukevich/CardView.MAUI,cardsview carouselview coverflowview cubeview net maui
davidfowl/TriviaR,multiplayer trivia game using signalr net seven
Razmoth/CNStudio,modded assetstudio cn unity games
danheron/Heron.MudCalendar,calendar component mudblazor
dantmnf/MHC2,information next generation color management windows
nefarius/Legacinator,one legacinator
AvaloniaUI/AvaloniaMauiHybrid,brings templated controls pixel perfect rendering animations styling composition maui
Apress/pro-c-sharp-10,source code pro csharp ten net six andrew troelsen phil japikse
cornflourblue/dotnet-6-jwt-refresh-tokens-api,net sixty jwt authentication refresh tokens tutorial example api
NotionTheory/unity-sweeper,simple cleanup tool remove unused assets unity
davidfowl/Roslyn.Reflection,reflection apis roslyn symbol apis
Luct0r/KerberOPSEC,opsec safe kerberoasting csharp
